# FeHinit Minit FeH sigma_FeH FeH_low FeH_high sigma_FeH_low sigma_FeH_high
-4.0 5.627094000000002 -3.1520990000000007 0.583762 -3.315428 -2.9866479999999997 0.522372 0.6442159999999999
-4.0 5.67724 -3.124371 0.592153 -3.2391360000000002 -2.9843640000000002 0.533884 0.65336
-4.0 5.727182000000002 -3.0339210000000003 0.592777 -3.179112 -2.872108 0.510016 0.6748559999999999
-4.0 5.776969999999999 -2.94692 0.5895750000000001 -3.05728 -2.8204439999999997 0.521528 0.6694720000000001
-4.0 5.827403000000001 -2.8455609999999996 0.568693 -2.940708 -2.730032 0.494924 0.6475879999999999
-4.0 5.876990999999999 -2.764176 0.5551809999999999 -2.8583559999999997 -2.654316 0.46521999999999997 0.6611040000000001
-4.0 5.927183 -2.697546 0.538304 -2.8107320000000002 -2.593928 0.43270800000000004 0.641488
-4.0 5.977084000000001 -2.6214759999999995 0.524993 -2.6974 -2.535344 0.42728799999999995 0.610976
-4.0 6.027065 -2.5495590000000004 0.5113759999999999 -2.6153399999999998 -2.478204 0.412072 0.6164999999999999
-4.0 6.077178999999998 -2.467763 0.483585 -2.5319399999999996 -2.404984 0.395968 0.5860359999999999
-4.0 6.1270289999999985 -2.4029670000000003 0.4735899999999999 -2.4567919999999996 -2.34226 0.394436 0.548204
-4.0 6.177191999999999 -2.3454070000000002 0.470799 -2.4044760000000003 -2.2815119999999998 0.38004 0.553528
-4.0 6.227114999999999 -2.2761739999999993 0.474147 -2.32998 -2.211904 0.382384 0.569784
-4.0 6.277114000000001 -2.209168 0.4721699999999999 -2.259136 -2.1522 0.377568 0.5869759999999999
-4.0 6.327122999999999 -2.110724 0.48399899999999996 -2.174948 -2.0484880000000003 0.39546000000000003 0.569704
-4.0 6.3771130000000005 -2.021583 0.5110830000000001 -2.1003 -1.9437200000000001 0.41352 0.609624
-4.0 6.427102000000001 -1.900063 0.5474260000000001 -1.9792480000000001 -1.8249959999999998 0.45522399999999996 0.6478480000000001
-4.0 6.477250000000001 -1.7856139999999998 0.5522279999999999 -1.839364 -1.7336399999999998 0.470304 0.6540360000000001
-4.0 6.5271230000000005 -1.7093620000000005 0.58611 -1.749724 -1.664708 0.494276 0.677416
-4.0 6.577158 -1.648944 0.613099 -1.6930680000000002 -1.607744 0.515 0.7209319999999999
-4.0 6.627167000000001 -1.581046 0.583918 -1.6077039999999998 -1.554404 0.513356 0.640544
-4.0 6.677098 -1.534626 0.592085 -1.560748 -1.509784 0.52874 0.67596
-4.0 6.727183 -1.4958649999999998 0.5938840000000001 -1.515228 -1.4710520000000002 0.525872 0.6649879999999999
-4.0 6.777113000000002 -1.4669040000000004 0.609598 -1.493544 -1.43922 0.5324679999999999 0.6786679999999999
-4.0 6.827147999999999 -1.4389109999999994 0.614012 -1.465788 -1.410284 0.5416679999999999 0.6910799999999999
-4.0 6.877116999999998 -1.4144210000000002 0.617306 -1.446728 -1.383336 0.5416960000000001 0.695292
-4.0 6.927117000000001 -1.3904430000000003 0.6153930000000001 -1.417932 -1.363604 0.554192 0.6808960000000001
-4.0 6.977164000000001 -1.375023 0.622556 -1.404824 -1.343984 0.556128 0.7064679999999999
-4.0 7.027111 -1.3554810000000002 0.625026 -1.379296 -1.3250199999999999 0.560484 0.690416
-4.0 7.077171 -1.341736 0.625074 -1.373376 -1.310884 0.55624 0.691276
-4.0 7.127134999999999 -1.331299 0.622038 -1.3561320000000001 -1.301884 0.55432 0.6887519999999999
-4.0 7.177149000000001 -1.318826 0.621918 -1.3479160000000001 -1.2898 0.5569040000000001 0.6983760000000001
-4.0 7.2271019999999995 -1.3037670000000003 0.6186639999999999 -1.3292 -1.27192 0.568488 0.67008
-4.0 7.277128 -1.2957349999999999 0.6147809999999999 -1.320592 -1.274168 0.5676239999999999 0.6571840000000001
-4.0 7.327139999999999 -1.285264 0.615285 -1.3127 -1.260472 0.563064 0.674484
